,event_id,station,components,time,duration
0,20190111T005950Z,1J.TI1A.,"['CH1', 'CH2', 'CHZ']",2019-01-11T00:59:50.990000Z,0.496
1,20190111T021230Z,1J.TI1A.,"['CH1', 'CH2', 'CHZ']",2019-01-11T02:12:30.520000Z,0.338
2,20190111T023539Z,1J.TI1A.,"['CH1', 'CH2', 'CHZ']",2019-01-11T02:35:39.874000Z,0.658
3,20190111T023816Z,1J.TI1A.,"['CH1', 'CH2', 'CHZ']",2019-01-11T02:38:16.408000Z,0.116
4,20190111T034129Z,1J.TI1A.,"['CH1', 'CH2', 'CHZ']",2019-01-11T03:41:29.326000Z,0.18
5,20190111T062124Z,1J.TI1A.,"['CH1', 'CH2', 'CHZ']",2019-01-11T06:21:24.054000Z,0.244
6,20190111T070137Z,1J.TI1A.,"['CH1', 'CH2', 'CHZ']",2019-01-11T07:01:37.252000Z,0.142
7,20190111T092848Z,1J.TI1A.,"['CH1', 'CH2', 'CHZ']",2019-01-11T09:28:48.104000Z,0.174
8,20190111T094845Z,1J.TI1A.,"['CH1', 'CH2', 'CHZ']",2019-01-11T09:48:45.340000Z,0.812
9,20190111T095727Z,1J.TI1A.,"['CH1', 'CH2', 'CHZ']",2019-01-11T09:57:27.056000Z,0.392
10,20190111T104126Z,1J.TI1A.,"['CH1', 'CH2', 'CHZ']",2019-01-11T10:41:26.534000Z,0.154
11,20190111T104328Z,1J.TI1A.,"['CH1', 'CH2', 'CHZ']",2019-01-11T10:43:28.588000Z,9.232
12,20190111T111420Z,1J.TI1A.,"['CH1', 'CH2', 'CHZ']",2019-01-11T11:14:20.150000Z,0.646
13,20190111T115209Z,1J.TI1A.,"['CH1', 'CH2', 'CHZ']",2019-01-11T11:52:09.772000Z,0.788
14,20190111T124417Z,1J.TI1A.,"['CH1', 'CH2', 'CHZ']",2019-01-11T12:44:17.256000Z,0.16
15,20190111T143700Z,1J.TI1A.,"['CH1', 'CH2', 'CHZ']",2019-01-11T14:37:00.378000Z,0.84
16,20190111T172926Z,1J.TI1A.,"['CH1', 'CH2', 'CHZ']",2019-01-11T17:29:26.618000Z,0.834
