,event_id,stations,network_time,ref_time,ref_duration,group
0,20190114T001010Z,['1J.TI3B.'],0.0,2019-01-14T00:10:10.582000Z,0.398,0
1,20190114T002516Z,['1J.TI3B.'],0.0,2019-01-14T00:25:16.232000Z,0.18,0
2,20190114T002609Z,['1J.TI3B.'],0.0,2019-01-14T00:26:09.436000Z,0.294,0
3,20190114T002634Z,['1J.TI3B.'],0.0,2019-01-14T00:26:34.684000Z,0.168,0
4,20190114T003203Z,['1J.TI3B.'],0.0,2019-01-14T00:32:03.752000Z,0.158,0
5,20190114T003722Z,['1J.TI3B.'],0.0,2019-01-14T00:37:22.146000Z,0.354,0
6,20190114T004812Z,['1J.TI3B.'],0.0,2019-01-14T00:48:12.650000Z,0.51,0
7,20190114T005117Z,['1J.TI3B.'],0.0,2019-01-14T00:51:17.212000Z,0.104,0
8,20190114T005334Z,['1J.TI3B.'],0.0,2019-01-14T00:53:34.970000Z,0.232,0
9,20190114T005953Z,['1J.TI3B.'],0.0,2019-01-14T00:59:53.812000Z,0.524,0
10,20190114T010510Z,['1J.TI3B.'],0.0,2019-01-14T01:05:10.648000Z,0.72,0
11,20190114T010803Z,['1J.TI3B.'],0.0,2019-01-14T01:08:03.856000Z,0.268,0
12,20190114T010937Z,['1J.TI3B.'],0.0,2019-01-14T01:09:37.210000Z,0.234,0
13,20190114T011306Z,['1J.TI3B.'],0.0,2019-01-14T01:13:06.384000Z,0.136,0
14,20190114T012033Z,['1J.TI3B.'],0.0,2019-01-14T01:20:33.298000Z,0.468,0
15,20190114T012653Z,['1J.TI3B.'],0.0,2019-01-14T01:26:53.490000Z,0.334,0
16,20190114T012715Z,['1J.TI3B.'],0.0,2019-01-14T01:27:15.354000Z,0.32,0
17,20190114T012909Z,['1J.TI3B.'],0.0,2019-01-14T01:29:09.874000Z,0.332,0
18,20190114T013018Z,['1J.TI3B.'],0.0,2019-01-14T01:30:18.592000Z,0.324,0
19,20190114T014226Z,['1J.TI3B.'],0.0,2019-01-14T01:42:26.236000Z,0.222,0
20,20190114T015724Z,['1J.TI3B.'],0.0,2019-01-14T01:57:24.086000Z,0.236,0
21,20190114T020347Z,['1J.TI3B.'],0.0,2019-01-14T02:03:47.966000Z,0.194,0
22,20190114T020453Z,['1J.TI3B.'],0.0,2019-01-14T02:04:53.630000Z,0.326,0
23,20190114T020637Z,['1J.TI3B.'],0.0,2019-01-14T02:06:37.876000Z,0.308,0
24,20190114T021057Z,['1J.TI3B.'],0.0,2019-01-14T02:10:57.458000Z,0.106,0
25,20190114T021133Z,['1J.TI3B.'],0.0,2019-01-14T02:11:33.468000Z,0.332,0
26,20190114T021300Z,['1J.TI3B.'],0.0,2019-01-14T02:13:00.914000Z,0.174,0
27,20190114T021532Z,['1J.TI3B.'],0.0,2019-01-14T02:15:32.576000Z,0.192,0
28,20190114T022110Z,['1J.TI3B.'],0.0,2019-01-14T02:21:10.352000Z,0.3,0
29,20190114T022846Z,['1J.TI3B.'],0.0,2019-01-14T02:28:46.148000Z,0.184,0
30,20190114T022851Z,['1J.TI3B.'],0.0,2019-01-14T02:28:51.674000Z,0.748,0
31,20190114T022909Z,['1J.TI3B.'],0.0,2019-01-14T02:29:09.664000Z,0.278,0
32,20190114T023051Z,['1J.TI3B.'],0.0,2019-01-14T02:30:51.564000Z,0.356,0
33,20190114T023427Z,['1J.TI3B.'],0.0,2019-01-14T02:34:27.952000Z,0.166,0
34,20190114T023825Z,['1J.TI3B.'],0.0,2019-01-14T02:38:25.928000Z,0.126,0
35,20190114T024008Z,['1J.TI3B.'],0.0,2019-01-14T02:40:08.104000Z,4.758,0
36,20190114T024334Z,['1J.TI3B.'],0.0,2019-01-14T02:43:34.258000Z,0.28,0
37,20190114T024515Z,['1J.TI3B.'],0.0,2019-01-14T02:45:15.652000Z,0.218,0
38,20190114T024521Z,['1J.TI3B.'],0.0,2019-01-14T02:45:21.806000Z,0.252,0
39,20190114T024653Z,['1J.TI3B.'],0.0,2019-01-14T02:46:53.372000Z,0.276,0
40,20190114T024740Z,['1J.TI3B.'],0.0,2019-01-14T02:47:40.076000Z,0.562,0
41,20190114T024900Z,['1J.TI3B.'],0.0,2019-01-14T02:49:00.996000Z,0.384,0
42,20190114T025559Z,['1J.TI3B.'],0.0,2019-01-14T02:55:59.578000Z,0.276,0
43,20190114T025740Z,['1J.TI3B.'],0.0,2019-01-14T02:57:40.900000Z,0.186,0
44,20190114T025913Z,['1J.TI3B.'],0.0,2019-01-14T02:59:13.628000Z,0.668,0
45,20190114T030104Z,['1J.TI3B.'],0.0,2019-01-14T03:01:04.410000Z,0.308,0
46,20190114T030459Z,['1J.TI3B.'],0.0,2019-01-14T03:04:59.176000Z,0.196,0
47,20190114T030919Z,['1J.TI3B.'],0.0,2019-01-14T03:09:19.764000Z,0.254,0
48,20190114T031253Z,['1J.TI3B.'],0.0,2019-01-14T03:12:53.732000Z,0.126,0
49,20190114T031417Z,['1J.TI3B.'],0.0,2019-01-14T03:14:17.776000Z,0.238,0
50,20190114T031751Z,['1J.TI3B.'],0.0,2019-01-14T03:17:51.326000Z,0.206,0
51,20190114T031803Z,['1J.TI3B.'],0.0,2019-01-14T03:18:03.490000Z,0.32,0
52,20190114T031838Z,['1J.TI3B.'],0.0,2019-01-14T03:18:38.340000Z,0.556,0
53,20190114T032034Z,['1J.TI3B.'],0.0,2019-01-14T03:20:34.000000Z,0.678,0
54,20190114T032150Z,['1J.TI3B.'],0.0,2019-01-14T03:21:50.626000Z,0.326,0
55,20190114T032211Z,['1J.TI3B.'],0.0,2019-01-14T03:22:11.534000Z,0.934,0
56,20190114T032303Z,['1J.TI3B.'],0.0,2019-01-14T03:23:03.008000Z,0.242,0
57,20190114T032312Z,['1J.TI3B.'],0.0,2019-01-14T03:23:12.764000Z,0.638,0
58,20190114T032422Z,['1J.TI3B.'],0.0,2019-01-14T03:24:22.044000Z,0.89,0
59,20190114T032732Z,['1J.TI3B.'],0.0,2019-01-14T03:27:32.924000Z,0.424,0
60,20190114T032742Z,['1J.TI3B.'],0.0,2019-01-14T03:27:42.140000Z,0.492,0
61,20190114T032935Z,['1J.TI3B.'],0.0,2019-01-14T03:29:35.412000Z,0.638,0
62,20190114T033528Z,['1J.TI3B.'],0.0,2019-01-14T03:35:28.332000Z,0.48,0
63,20190114T034350Z,['1J.TI3B.'],0.0,2019-01-14T03:43:50.384000Z,0.164,0
64,20190114T034356Z,['1J.TI3B.'],0.0,2019-01-14T03:43:56.314000Z,0.182,0
65,20190114T034411Z,['1J.TI3B.'],0.0,2019-01-14T03:44:11.128000Z,0.704,0
66,20190114T034448Z,['1J.TI3B.'],0.0,2019-01-14T03:44:48.984000Z,0.162,0
67,20190114T034631Z,['1J.TI3B.'],0.0,2019-01-14T03:46:31.428000Z,0.676,0
68,20190114T034710Z,['1J.TI3B.'],0.0,2019-01-14T03:47:10.582000Z,0.434,0
69,20190114T034939Z,['1J.TI3B.'],0.0,2019-01-14T03:49:39.002000Z,0.274,0
70,20190114T035030Z,['1J.TI3B.'],0.0,2019-01-14T03:50:30.446000Z,0.17,0
71,20190114T035102Z,['1J.TI3B.'],0.0,2019-01-14T03:51:02.104000Z,0.25,0
72,20190114T035217Z,['1J.TI3B.'],0.0,2019-01-14T03:52:17.888000Z,0.166,0
73,20190114T035338Z,['1J.TI3B.'],0.0,2019-01-14T03:53:38.174000Z,0.408,0
74,20190114T035524Z,['1J.TI3B.'],0.0,2019-01-14T03:55:24.682000Z,0.812,0
75,20190114T035658Z,['1J.TI3B.'],0.0,2019-01-14T03:56:58.042000Z,0.32,0
76,20190114T035731Z,['1J.TI3B.'],0.0,2019-01-14T03:57:31.930000Z,0.304,0
77,20190114T035803Z,['1J.TI3B.'],0.0,2019-01-14T03:58:03.258000Z,0.296,0
78,20190114T040445Z,['1J.TI3B.'],0.0,2019-01-14T04:04:45.868000Z,0.252,0
79,20190114T040535Z,['1J.TI3B.'],0.0,2019-01-14T04:05:35.208000Z,0.206,0
80,20190114T040615Z,['1J.TI3B.'],0.0,2019-01-14T04:06:15.296000Z,0.728,0
81,20190114T040654Z,['1J.TI3B.'],0.0,2019-01-14T04:06:54.854000Z,0.466,0
82,20190114T040854Z,['1J.TI3B.'],0.0,2019-01-14T04:08:54.384000Z,0.23,0
83,20190114T040909Z,['1J.TI3B.'],0.0,2019-01-14T04:09:09.216000Z,0.314,0
84,20190114T040950Z,['1J.TI3B.'],0.0,2019-01-14T04:09:50.892000Z,0.416,0
85,20190114T041118Z,['1J.TI3B.'],0.0,2019-01-14T04:11:18.906000Z,0.276,0
86,20190114T041238Z,['1J.TI3B.'],0.0,2019-01-14T04:12:38.226000Z,0.27,0
87,20190114T041328Z,['1J.TI3B.'],0.0,2019-01-14T04:13:28.626000Z,0.26,0
88,20190114T041340Z,['1J.TI3B.'],0.0,2019-01-14T04:13:40.504000Z,0.664,0
89,20190114T041532Z,['1J.TI3B.'],0.0,2019-01-14T04:15:32.728000Z,0.332,0
90,20190114T041623Z,['1J.TI3B.'],0.0,2019-01-14T04:16:23.196000Z,0.808,0
91,20190114T041640Z,['1J.TI3B.'],0.0,2019-01-14T04:16:40.940000Z,4.322,0
92,20190114T041654Z,['1J.TI3B.'],0.0,2019-01-14T04:16:54.612000Z,1.982,0
93,20190114T041704Z,['1J.TI3B.'],0.0,2019-01-14T04:17:04.624000Z,0.368,0
94,20190114T041758Z,['1J.TI3B.'],0.0,2019-01-14T04:17:58.480000Z,0.174,0
95,20190114T041950Z,['1J.TI3B.'],0.0,2019-01-14T04:19:50.238000Z,0.568,0
96,20190114T042017Z,['1J.TI3B.'],0.0,2019-01-14T04:20:17.512000Z,0.294,0
97,20190114T042129Z,['1J.TI3B.'],0.0,2019-01-14T04:21:29.994000Z,0.302,0
98,20190114T042630Z,['1J.TI3B.'],0.0,2019-01-14T04:26:30.872000Z,0.682,0
99,20190114T043047Z,['1J.TI3B.'],0.0,2019-01-14T04:30:47.746000Z,0.2,0
100,20190114T043144Z,['1J.TI3B.'],0.0,2019-01-14T04:31:44.974000Z,0.144,0
101,20190114T043729Z,['1J.TI3B.'],0.0,2019-01-14T04:37:29.244000Z,0.43,0
102,20190114T044101Z,['1J.TI3B.'],0.0,2019-01-14T04:41:01.238000Z,0.25,0
103,20190114T044254Z,['1J.TI3B.'],0.0,2019-01-14T04:42:54.278000Z,0.37,0
104,20190114T044302Z,['1J.TI3B.'],0.0,2019-01-14T04:43:02.516000Z,0.332,0
105,20190114T044423Z,['1J.TI3B.'],0.0,2019-01-14T04:44:23.034000Z,0.33,0
106,20190114T044446Z,['1J.TI3B.'],0.0,2019-01-14T04:44:46.888000Z,0.276,0
107,20190114T044454Z,['1J.TI3B.'],0.0,2019-01-14T04:44:54.170000Z,0.158,0
108,20190114T044504Z,['1J.TI3B.'],0.0,2019-01-14T04:45:04.566000Z,0.714,0
