,event_id,station,components,time,duration
0,20190113T065746Z,1J.TI6B.,"['CH1', 'CH2', 'CHZ']",2019-01-13T06:57:46.546000Z,0.082
1,20190113T084222Z,1J.TI6B.,"['CH1', 'CH2', 'CHZ']",2019-01-13T08:42:22.026000Z,0.158
2,20190113T091332Z,1J.TI6B.,"['CH1', 'CH2', 'CHZ']",2019-01-13T09:13:32.232000Z,0.118
3,20190113T104534Z,1J.TI6B.,"['CH1', 'CH2', 'CHZ']",2019-01-13T10:45:34.418000Z,0.466
4,20190113T104717Z,1J.TI6B.,"['CH1', 'CH2', 'CHZ']",2019-01-13T10:47:17.304000Z,0.126
5,20190113T110643Z,1J.TI6B.,"['CH1', 'CH2', 'CHZ']",2019-01-13T11:06:43.590000Z,0.19
6,20190113T110818Z,1J.TI6B.,"['CH1', 'CH2', 'CHZ']",2019-01-13T11:08:18.596000Z,0.148
7,20190113T124257Z,1J.TI6B.,"['CH1', 'CH2', 'CHZ']",2019-01-13T12:42:57.150000Z,11.212
8,20190113T162606Z,1J.TI6B.,"['CH1', 'CH2', 'CHZ']",2019-01-13T16:26:06.318000Z,0.12
9,20190113T171230Z,1J.TI6B.,"['CH1', 'CH2', 'CHZ']",2019-01-13T17:12:30.760000Z,0.148
10,20190113T194126Z,1J.TI6B.,"['CH1', 'CH2', 'CHZ']",2019-01-13T19:41:26.776000Z,0.392
11,20190113T214613Z,1J.TI6B.,"['CH1', 'CH2', 'CHZ']",2019-01-13T21:46:13.716000Z,0.122
12,20190113T234047Z,1J.TI6B.,"['CH1', 'CH2', 'CHZ']",2019-01-13T23:40:47.078000Z,0.122
