,event_id,stations,network_time,ref_time,ref_duration,group
0,20190107T000007Z,['1J.TI7A.'],0.0,2019-01-07T00:00:07.710000Z,1.008,0
1,20190107T000049Z,['1J.TI7A.'],0.0,2019-01-07T00:00:49.618000Z,0.126,0
2,20190107T000634Z,['1J.TI7A.'],0.0,2019-01-07T00:06:34.098000Z,0.152,0
3,20190107T000918Z,['1J.TI7A.'],0.0,2019-01-07T00:09:18.616000Z,0.146,0
4,20190107T001241Z,['1J.TI7A.'],0.0,2019-01-07T00:12:41.214000Z,0.1,0
5,20190107T001720Z,['1J.TI7A.'],0.0,2019-01-07T00:17:20.864000Z,0.23,0
6,20190107T002328Z,['1J.TI7A.'],0.0,2019-01-07T00:23:28.258000Z,0.12,0
7,20190107T002545Z,['1J.TI7A.'],0.0,2019-01-07T00:25:45.446000Z,0.258,0
8,20190107T003455Z,['1J.TI7A.'],0.0,2019-01-07T00:34:55.294000Z,0.262,0
9,20190107T003634Z,['1J.TI7A.'],0.0,2019-01-07T00:36:34.510000Z,0.21,0
10,20190107T004745Z,['1J.TI7A.'],0.0,2019-01-07T00:47:45.840000Z,2.884,0
11,20190107T004946Z,['1J.TI7A.'],0.0,2019-01-07T00:49:46.308000Z,0.114,0
12,20190107T005511Z,['1J.TI7A.'],0.0,2019-01-07T00:55:11.976000Z,0.102,0
13,20190107T005619Z,['1J.TI7A.'],0.0,2019-01-07T00:56:19.752000Z,0.286,0
14,20190107T005632Z,['1J.TI7A.'],0.0,2019-01-07T00:56:32.178000Z,0.122,0
15,20190107T005948Z,['1J.TI7A.'],0.0,2019-01-07T00:59:48.140000Z,0.098,0
16,20190107T010103Z,['1J.TI7A.'],0.0,2019-01-07T01:01:03.742000Z,4.914,0
17,20190107T010424Z,['1J.TI7A.'],0.0,2019-01-07T01:04:24.604000Z,0.288,0
18,20190107T010706Z,['1J.TI7A.'],0.0,2019-01-07T01:07:06.778000Z,0.294,0
19,20190107T010752Z,['1J.TI7A.'],0.0,2019-01-07T01:07:52.322000Z,0.132,0
20,20190107T010957Z,['1J.TI7A.'],0.0,2019-01-07T01:09:57.418000Z,0.29,0
21,20190107T011006Z,['1J.TI7A.'],0.0,2019-01-07T01:10:06.690000Z,0.112,0
22,20190107T011034Z,['1J.TI7A.'],0.0,2019-01-07T01:10:34.160000Z,0.466,0
23,20190107T011112Z,['1J.TI7A.'],0.0,2019-01-07T01:11:12.370000Z,0.09,0
24,20190107T011402Z,['1J.TI7A.'],0.0,2019-01-07T01:14:02.164000Z,0.188,0
25,20190107T011816Z,['1J.TI7A.'],0.0,2019-01-07T01:18:16.480000Z,0.106,0
26,20190107T012551Z,['1J.TI7A.'],0.0,2019-01-07T01:25:51.318000Z,4.802,0
27,20190107T012720Z,['1J.TI7A.'],0.0,2019-01-07T01:27:20.562000Z,0.122,0
28,20190107T012844Z,['1J.TI7A.'],0.0,2019-01-07T01:28:44.220000Z,0.112,0
29,20190107T013021Z,['1J.TI7A.'],0.0,2019-01-07T01:30:21.324000Z,0.118,0
30,20190107T013030Z,['1J.TI7A.'],0.0,2019-01-07T01:30:30.694000Z,0.192,0
31,20190107T013303Z,['1J.TI7A.'],0.0,2019-01-07T01:33:03.580000Z,0.166,0
32,20190107T013332Z,['1J.TI7A.'],0.0,2019-01-07T01:33:32.874000Z,0.398,0
33,20190107T013542Z,['1J.TI7A.'],0.0,2019-01-07T01:35:42.454000Z,0.426,0
34,20190107T013559Z,['1J.TI7A.'],0.0,2019-01-07T01:35:59.454000Z,0.224,0
35,20190107T013614Z,['1J.TI7A.'],0.0,2019-01-07T01:36:14.662000Z,0.22,0
36,20190107T013825Z,['1J.TI7A.'],0.0,2019-01-07T01:38:25.454000Z,0.4,0
37,20190107T013911Z,['1J.TI7A.'],0.0,2019-01-07T01:39:11.420000Z,0.126,0
38,20190107T014046Z,['1J.TI7A.'],0.0,2019-01-07T01:40:46.328000Z,0.26,0
39,20190107T014154Z,['1J.TI7A.'],0.0,2019-01-07T01:41:54.356000Z,0.278,0
40,20190107T015025Z,['1J.TI7A.'],0.0,2019-01-07T01:50:25.268000Z,0.136,0
41,20190107T015842Z,['1J.TI7A.'],0.0,2019-01-07T01:58:42.672000Z,0.102,0
42,20190107T020032Z,['1J.TI7A.'],0.0,2019-01-07T02:00:32.346000Z,0.118,0
43,20190107T020251Z,['1J.TI7A.'],0.0,2019-01-07T02:02:51.316000Z,0.102,0
44,20190107T021042Z,['1J.TI7A.'],0.0,2019-01-07T02:10:42.850000Z,0.138,0
45,20190107T021136Z,['1J.TI7A.'],0.0,2019-01-07T02:11:36.498000Z,0.14,0
46,20190107T021328Z,['1J.TI7A.'],0.0,2019-01-07T02:13:28.322000Z,0.16,0
47,20190107T021359Z,['1J.TI7A.'],0.0,2019-01-07T02:13:59.732000Z,0.108,0
48,20190107T021533Z,['1J.TI7A.'],0.0,2019-01-07T02:15:33.350000Z,0.116,0
49,20190107T021540Z,['1J.TI7A.'],0.0,2019-01-07T02:15:40.938000Z,0.224,0
50,20190107T021806Z,['1J.TI7A.'],0.0,2019-01-07T02:18:06.572000Z,0.278,0
51,20190107T021847Z,['1J.TI7A.'],0.0,2019-01-07T02:18:47.860000Z,0.19,0
52,20190107T022137Z,['1J.TI7A.'],0.0,2019-01-07T02:21:37.776000Z,0.08,0
53,20190107T022247Z,['1J.TI7A.'],0.0,2019-01-07T02:22:47.496000Z,0.29,0
54,20190107T022408Z,['1J.TI7A.'],0.0,2019-01-07T02:24:08.916000Z,0.154,0
55,20190107T023055Z,['1J.TI7A.'],0.0,2019-01-07T02:30:55.342000Z,0.122,0
56,20190107T023601Z,['1J.TI7A.'],0.0,2019-01-07T02:36:01.048000Z,0.112,0
57,20190107T023632Z,['1J.TI7A.'],0.0,2019-01-07T02:36:32.922000Z,0.23,0
58,20190107T024023Z,['1J.TI7A.'],0.0,2019-01-07T02:40:23.296000Z,0.2,0
59,20190107T024239Z,['1J.TI7A.'],0.0,2019-01-07T02:42:39.508000Z,0.68,0
60,20190107T024309Z,['1J.TI7A.'],0.0,2019-01-07T02:43:09.702000Z,1.1,0
61,20190107T024653Z,['1J.TI7A.'],0.0,2019-01-07T02:46:53.602000Z,0.73,0
62,20190107T024725Z,['1J.TI7A.'],0.0,2019-01-07T02:47:25.600000Z,0.106,0
63,20190107T025532Z,['1J.TI7A.'],0.0,2019-01-07T02:55:32.530000Z,0.12,0
64,20190107T025659Z,['1J.TI7A.'],0.0,2019-01-07T02:56:59.088000Z,0.084,0
65,20190107T025839Z,['1J.TI7A.'],0.0,2019-01-07T02:58:39.404000Z,0.916,0
