,event_id,station,components,time,duration
0,20190117T003857Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T00:38:57.582000Z,1.426
1,20190117T003917Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T00:39:17.290000Z,9.448
2,20190117T005100Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T00:51:00.318000Z,2.928
3,20190117T012448Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T01:24:48.704000Z,15.33
4,20190117T015520Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T01:55:20.012000Z,16.676
5,20190117T021302Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T02:13:02.498000Z,12.674
6,20190117T022239Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T02:22:39.862000Z,12.416
7,20190117T023015Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T02:30:12.584000Z,12.038
8,20190117T023041Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T02:30:40.400000Z,17.136
9,20190117T023233Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T02:32:33.310000Z,4.076
10,20190117T024703Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T02:46:58.422000Z,14.638
11,20190117T030443Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T03:04:43.246000Z,18.664
12,20190117T031823Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T03:18:23.288000Z,13.622
13,20190117T033356Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T03:33:56.960000Z,16.054
14,20190117T034017Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T03:40:15.426000Z,21.454
15,20190117T034219Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T03:42:19.664000Z,6.616
16,20190117T041507Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T04:15:07.340000Z,14.198
17,20190117T042624Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T04:26:24.072000Z,14.296
18,20190117T043411Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T04:34:11.092000Z,18.816
19,20190117T044342Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T04:43:42.992000Z,1.294
20,20190117T044543Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T04:45:43.432000Z,4.52
21,20190117T050201Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T05:02:01.166000Z,9.746
22,20190117T052626Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T05:26:26.614000Z,2.748
23,20190117T053406Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T05:34:06.204000Z,13.116
24,20190117T054400Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T05:44:00.960000Z,15.688
25,20190117T054832Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T05:48:32.624000Z,20.18
26,20190117T055618Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T05:56:18.102000Z,3.774
27,20190117T061137Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T06:11:37.796000Z,13.98
28,20190117T061828Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T06:18:26.658000Z,12.682
29,20190117T062338Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T06:23:38.414000Z,10.422
30,20190117T062519Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T06:25:19.822000Z,9.184
31,20190117T063042Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T06:30:42.464000Z,12.8
32,20190117T063216Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T06:32:16.284000Z,18.852
33,20190117T063337Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T06:33:37.224000Z,1.3
34,20190117T064203Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T06:42:03.270000Z,15.368
35,20190117T065334Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T06:53:34.776000Z,18.212
36,20190117T070451Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T07:04:51.316000Z,13.58
37,20190117T071143Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T07:11:43.886000Z,3.888
38,20190117T071402Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T07:14:02.552000Z,5.396
39,20190117T072249Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T07:22:49.610000Z,18.686
40,20190117T075006Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T07:50:06.836000Z,2.176
41,20190117T075325Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T07:53:25.672000Z,9.972
42,20190117T081051Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T08:10:50.814000Z,3.812
43,20190117T082148Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T08:21:48.988000Z,16.054
44,20190117T084000Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T08:40:00.388000Z,17.876
45,20190117T084342Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T08:43:42.084000Z,4.114
46,20190117T084408Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T08:44:08.902000Z,16.542
47,20190117T084723Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T08:47:23.348000Z,5.926
48,20190117T085115Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T08:51:15.462000Z,17.732
49,20190117T091352Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T09:13:52.174000Z,10.29
50,20190117T091550Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T09:15:48.342000Z,16.228
51,20190117T092629Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T09:26:29.696000Z,8.024
52,20190117T093916Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-17T09:39:16.340000Z,15.06
