,event_id,station,components,time,duration
0,20190119T001018Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T00:10:18.206000Z,2.028
1,20190119T001516Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T00:15:16.520000Z,0.078
2,20190119T002836Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T00:28:36.416000Z,10.778
3,20190119T004125Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T00:41:25.446000Z,14.614
4,20190119T005739Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T00:57:39.072000Z,7.948
5,20190119T011128Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T01:11:28.734000Z,1.962
6,20190119T011813Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T01:18:13.194000Z,14.608
7,20190119T014041Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T01:40:41.324000Z,4.178
8,20190119T021132Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T02:11:32.376000Z,1.366
9,20190119T024546Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T02:45:46.512000Z,8.934
10,20190119T040414Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T04:04:14.702000Z,9.068
11,20190119T045913Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T04:59:13.742000Z,3.032
12,20190119T051203Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T05:12:03.388000Z,0.762
13,20190119T054143Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T05:41:43.848000Z,15.6
14,20190119T054445Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T05:44:45.486000Z,1.512
15,20190119T055211Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T05:52:11.254000Z,6.204
16,20190119T060101Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T06:01:01.560000Z,18.93
17,20190119T061618Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T06:16:18.272000Z,4.822
18,20190119T062654Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T06:26:54.284000Z,1.968
19,20190119T064408Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T06:44:08.798000Z,3.546
20,20190119T064832Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T06:48:32.562000Z,1.194
21,20190119T065631Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T06:56:31.002000Z,10.296
22,20190119T071945Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T07:19:45.066000Z,16.826
23,20190119T072943Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T07:29:43.674000Z,13.172
24,20190119T073316Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T07:33:16.478000Z,4.896
25,20190119T073933Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T07:39:33.206000Z,14.94
26,20190119T074009Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T07:40:09.148000Z,9.66
27,20190119T075137Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T07:51:37.126000Z,12.426
28,20190119T075242Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T07:52:42.590000Z,1.294
29,20190119T080103Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T08:01:03.506000Z,11.52
30,20190119T080238Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T08:02:38.604000Z,13.386
31,20190119T080541Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T08:05:41.336000Z,3.396
32,20190119T080906Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T08:09:06.952000Z,9.304
33,20190119T081303Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T08:13:03.820000Z,15.94
34,20190119T081519Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T08:15:19.284000Z,3.18
35,20190119T082022Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T08:20:22.464000Z,6.338
36,20190119T085216Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T08:52:16.626000Z,11.342
37,20190119T090505Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T09:05:05.942000Z,4.84
38,20190119T092352Z,1J.TI8C.,"['CH1', 'CH2', 'CHZ']",2019-01-19T09:23:52.040000Z,8.712
