,event_id,stations,network_time,ref_time,ref_duration,group
0,20190113T000430Z,['1J.TI1A.'],0.0,2019-01-13T00:04:30.122000Z,5.33,0
1,20190113T000503Z,['1J.TI6A.'],0.0,2019-01-13T00:05:03.160000Z,1.184,0
2,20190113T000653Z,['1J.TI1A.'],0.0,2019-01-13T00:06:53.510000Z,1.44,0
3,20190113T000919Z,['1J.TI8A.'],0.0,2019-01-13T00:09:19.612000Z,1.634,0
4,20190113T001147Z,['1J.TI6A.'],0.0,2019-01-13T00:11:47.246000Z,1.214,0
5,20190113T001451Z,['1J.TI6A.'],0.0,2019-01-13T00:14:51.636000Z,1.668,0
6,20190113T001516Z,['1J.TI6A.'],0.0,2019-01-13T00:15:16.820000Z,1.456,0
7,20190113T001728Z,['1J.TI1A.'],0.0,2019-01-13T00:17:28.690000Z,7.908,0
8,20190113T001850Z,['1J.TI1A.'],0.0,2019-01-13T00:18:50.600000Z,1.752,0
9,20190113T002048Z,['1J.TI6A.'],0.0,2019-01-13T00:20:48.276000Z,1.128,0
10,20190113T002112Z,['1J.TI6A.'],0.0,2019-01-13T00:21:12.568000Z,1.128,0
11,20190113T002122Z,['1J.TI1A.'],0.0,2019-01-13T00:21:22.940000Z,1.188,0
12,20190113T002134Z,['1J.TI6A.'],0.0,2019-01-13T00:21:34.016000Z,2.434,0
13,20190113T002521Z,['1J.TI8A.'],0.0,2019-01-13T00:25:21.806000Z,2.114,0
14,20190113T002753Z,['1J.TI6A.'],0.0,2019-01-13T00:27:53.782000Z,9.29,0
15,20190113T002953Z,['1J.TI1A.'],0.0,2019-01-13T00:29:53.148000Z,33.966,0
16,20190113T003041Z,['1J.TI8A.'],0.0,2019-01-13T00:30:41.916000Z,8.726,0
17,20190113T003225Z,['1J.TI1A.'],0.0,2019-01-13T00:32:25.466000Z,0.954,0
18,20190113T003640Z,['1J.TI1A.'],0.0,2019-01-13T00:36:40.974000Z,1.184,0
19,20190113T003704Z,['1J.TI6A.'],0.0,2019-01-13T00:37:04.626000Z,2.602,0
20,20190113T003901Z,['1J.TI6A.'],0.0,2019-01-13T00:39:01.074000Z,2.364,0
21,20190113T003940Z,['1J.TI8A.'],0.0,2019-01-13T00:39:40.304000Z,1.142,0
22,20190113T004248Z,['1J.TI6A.'],0.0,2019-01-13T00:42:48.328000Z,1.586,0
23,20190113T004358Z,['1J.TI8A.'],0.0,2019-01-13T00:43:58.080000Z,2.432,0
24,20190113T004752Z,['1J.TI8A.'],0.0,2019-01-13T00:47:52.072000Z,1.526,0
25,20190113T005147Z,['1J.TI8A.'],0.0,2019-01-13T00:51:47.876000Z,1.254,0
26,20190113T005341Z,['1J.TI8A.'],0.0,2019-01-13T00:53:41.728000Z,1.184,0
27,20190113T010114Z,['1J.TI6A.'],0.0,2019-01-13T01:01:14.202000Z,1.464,0
28,20190113T010432Z,['1J.TI6A.'],0.0,2019-01-13T01:04:32.840000Z,6.236,0
29,20190113T010513Z,['1J.TI6A.'],0.0,2019-01-13T01:05:13.900000Z,11.132,0
30,20190113T010548Z,"['1J.TI3A.', '1J.TI8A.']",0.0,2019-01-13T01:05:48.826000Z,18.388,0
31,20190113T010859Z,['1J.TI6A.'],0.0,2019-01-13T01:08:59.708000Z,8.604,0
32,20190113T010953Z,['1J.TI6A.'],0.0,2019-01-13T01:09:53.252000Z,7.726,0
33,20190113T011047Z,['1J.TI1A.'],0.0,2019-01-13T01:10:47.624000Z,9.688,0
34,20190113T011101Z,['1J.TI6A.'],0.0,2019-01-13T01:11:01.284000Z,1.046,0
35,20190113T011227Z,['1J.TI6A.'],0.0,2019-01-13T01:12:27.868000Z,1.41,0
36,20190113T011249Z,['1J.TI6A.'],0.0,2019-01-13T01:12:49.478000Z,1.518,0
