,event_id,stations,ref_time,ref_duration,group
0,20181228T000101Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.']",2018-12-28T00:01:01.660000Z,59.05,1794
1,20181228T000333Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T00:03:33.420000Z,37.97,1801
2,20181228T000526Z,['1J.TI3A.'],2018-12-28T00:05:26.810000Z,31.73,1309
3,20181228T001014Z,['1J.TI3A.'],2018-12-28T00:10:14.120000Z,31.73,1309
4,20181228T001246Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",2018-12-28T00:12:46.780000Z,37.91,1622
5,20181228T002329Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",2018-12-28T00:23:29.220000Z,37.91,1622
6,20181228T002523Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI1A.']",2018-12-28T00:25:23.510000Z,45.88,1689
7,20181228T003206Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T00:32:06.790000Z,37.97,1801
8,20181228T003310Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.']",2018-12-28T00:33:10.530000Z,59.05,1794
9,20181228T003853Z,['1J.TI3A.'],2018-12-28T00:38:53.480000Z,31.73,1309
10,20181228T004452Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T00:44:52.230000Z,37.97,1801
11,20181228T004559Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI1A.']",2018-12-28T00:45:59.580000Z,45.88,1689
12,20181228T005037Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI1A.']",2018-12-28T00:50:37.770000Z,55.82,1057
13,20181228T005908Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T00:59:08.310000Z,37.97,1801
14,20181228T010058Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.', '1J.TI1A.']",2018-12-28T01:00:58.560000Z,75.79,1222
15,20181228T010133Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.']",2018-12-28T01:01:33.390000Z,59.05,1794
16,20181228T011050Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI1A.']",2018-12-28T01:10:50.240000Z,45.88,1689
17,20181228T011200Z,['1J.TI3A.'],2018-12-28T01:12:00.280000Z,31.73,1309
18,20181228T012027Z,['1J.TI3A.'],2018-12-28T01:20:27.660000Z,31.73,1309
19,20181228T012716Z,['1J.TI3A.'],2018-12-28T01:27:16.590000Z,31.73,1309
20,20181228T013205Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI1A.']",2018-12-28T01:32:05.820000Z,55.82,1057
21,20181228T013231Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.']",2018-12-28T01:32:31.270000Z,59.05,1794
22,20181228T013920Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T01:39:20.460000Z,37.97,1801
23,20181228T014220Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T01:42:20.900000Z,37.97,1801
24,20181228T014259Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.', '1J.TI1A.']",2018-12-28T01:42:59.460000Z,47.52,699
25,20181228T014558Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T01:45:58.450000Z,37.97,1801
26,20181228T015507Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI1A.']",2018-12-28T01:55:07.240000Z,45.88,1689
27,20181228T015601Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T01:56:01.610000Z,37.97,1801
28,20181228T015647Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.', '1J.TI1A.']",2018-12-28T01:56:47.620000Z,47.52,699
29,20181228T015954Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.']",2018-12-28T01:59:54.990000Z,59.05,1794
30,20181228T020124Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.', '1J.TI1A.']",2018-12-28T02:01:24.080000Z,47.52,699
31,20181228T020621Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI1A.']",2018-12-28T02:06:21.170000Z,55.82,1057
32,20181228T020733Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI1A.']",2018-12-28T02:07:33.000000Z,55.82,1057
33,20181228T020959Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T02:09:59.050000Z,37.97,1801
34,20181228T021025Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.', '1J.TI1A.']",2018-12-28T02:10:25.540000Z,47.52,699
35,20181228T021413Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.', '1J.TI1A.']",2018-12-28T02:14:13.060000Z,47.52,699
36,20181228T021707Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI1A.']",2018-12-28T02:17:07.150000Z,45.88,1689
37,20181228T022134Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.', '1J.TI1A.']",2018-12-28T02:21:34.290000Z,47.52,699
38,20181228T022219Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.', '1J.TI1A.']",2018-12-28T02:22:19.850000Z,47.52,699
39,20181228T022332Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T02:23:32.580000Z,37.97,1801
40,20181228T022348Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T02:23:48.150000Z,37.97,1801
41,20181228T022728Z,['1J.TI3A.'],2018-12-28T02:27:28.450000Z,31.73,1309
42,20181228T023153Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T02:31:53.220000Z,37.97,1801
43,20181228T023324Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.']",2018-12-28T02:33:24.650000Z,59.05,1794
44,20181228T023628Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T02:36:28.060000Z,37.97,1801
45,20181228T024245Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.', '1J.TI1A.']",2018-12-28T02:42:45.270000Z,75.79,1222
46,20181228T024659Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI1A.']",2018-12-28T02:46:59.570000Z,55.82,1057
47,20181228T024908Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI1A.']",2018-12-28T02:49:08.820000Z,55.82,1057
48,20181228T025042Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T02:50:42.120000Z,37.97,1801
49,20181228T025636Z,['1J.TI3A.'],2018-12-28T02:56:36.850000Z,31.73,1309
50,20181228T025707Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI1A.']",2018-12-28T02:57:07.620000Z,45.88,1689
51,20181228T030406Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T03:04:06.280000Z,37.97,1801
52,20181228T030831Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI1A.', '1J.TI4A.']",2018-12-28T03:08:31.910000Z,75.43,647
53,20181228T031422Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.']",2018-12-28T03:14:22.350000Z,59.05,1794
54,20181228T031439Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T03:14:39.310000Z,37.97,1801
55,20181228T031506Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T03:15:06.730000Z,37.97,1801
56,20181228T031522Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI1A.']",2018-12-28T03:15:22.450000Z,45.88,1689
57,20181228T031623Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T03:16:23.260000Z,37.97,1801
58,20181228T031641Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T03:16:41.630000Z,37.97,1801
59,20181228T031741Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.', '1J.TI1A.']",2018-12-28T03:17:41.600000Z,75.79,1222
60,20181228T031837Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T03:18:37.240000Z,37.97,1801
