,event_id,station,components,time,duration
0,20181229T000038Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T00:00:38.492000Z,3.128
1,20181229T000444Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T00:04:44.518000Z,0.704
2,20181229T000502Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T00:05:02.742000Z,39.532
3,20181229T000734Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T00:07:34.584000Z,4.798
4,20181229T000827Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T00:08:27.400000Z,2.968
5,20181229T000850Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T00:08:50.504000Z,11.666
6,20181229T001907Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T00:19:13.784000Z,7.088
7,20181229T002125Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T00:21:26.470000Z,25.948
8,20181229T002241Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T00:22:41.596000Z,0.904
9,20181229T002631Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T00:26:33.348000Z,19.936
10,20181229T002759Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T00:28:07.446000Z,20.658
11,20181229T002919Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T00:29:22.498000Z,19.582
12,20181229T003129Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T00:31:31.806000Z,12.926
13,20181229T003829Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T00:38:34.170000Z,14.618
14,20181229T004348Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T00:43:49.828000Z,30.568
15,20181229T004616Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T00:46:16.352000Z,14.826
16,20181229T004912Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T00:49:12.950000Z,6.232
17,20181229T005051Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T00:50:51.068000Z,0.72
18,20181229T005220Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T00:52:23.092000Z,19.686
19,20181229T005600Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T00:56:04.706000Z,17.95
20,20181229T010210Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T01:02:19.134000Z,17.496
21,20181229T010600Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T01:06:02.846000Z,17.982
22,20181229T011431Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T01:14:31.848000Z,3.442
23,20181229T011756Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T01:17:59.062000Z,21.998
24,20181229T012003Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T01:20:03.420000Z,21.238
25,20181229T012406Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T01:24:06.986000Z,4.482
26,20181229T013041Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T01:30:49.956000Z,13.164
27,20181229T013201Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T01:32:01.294000Z,2.904
28,20181229T013321Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T01:33:27.736000Z,12.618
29,20181229T013410Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T01:34:10.028000Z,1.356
30,20181229T013538Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T01:35:38.024000Z,1.592
31,20181229T013841Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T01:38:41.164000Z,1.274
32,20181229T014018Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T01:40:23.240000Z,20.3
33,20181229T014322Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T01:43:31.166000Z,14.078
34,20181229T014651Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T01:46:55.610000Z,17.684
35,20181229T015322Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T01:53:22.426000Z,15.472
36,20181229T015415Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T01:54:19.562000Z,15.478
37,20181229T015928Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T01:59:33.212000Z,18.888
38,20181229T020203Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T02:02:03.292000Z,1.86
39,20181229T020705Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T02:07:05.394000Z,1.14
40,20181229T022241Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T02:22:46.348000Z,23.05
41,20181229T022515Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T02:25:19.690000Z,16.966
42,20181229T022555Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T02:25:55.282000Z,1.278
43,20181229T022721Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T02:27:21.860000Z,2.0
44,20181229T022734Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T02:27:46.676000Z,8.458
45,20181229T022928Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T02:29:28.308000Z,2.356
46,20181229T023231Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T02:32:31.194000Z,44.092
47,20181229T023418Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T02:34:18.076000Z,4.698
48,20181229T023535Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T02:35:35.324000Z,38.318
49,20181229T023751Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T02:37:51.768000Z,1.838
50,20181229T023908Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T02:39:08.114000Z,0.976
51,20181229T023927Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T02:39:27.530000Z,41.792
52,20181229T024146Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T02:41:46.386000Z,2.366
53,20181229T024453Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T02:44:53.852000Z,5.732
54,20181229T024647Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T02:46:47.634000Z,10.878
55,20181229T025242Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T02:52:47.400000Z,13.992
56,20181229T025752Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T02:57:56.674000Z,20.192
57,20181229T030126Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T03:01:26.788000Z,35.008
58,20181229T030619Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T03:06:24.350000Z,19.226
59,20181229T030848Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T03:08:48.448000Z,15.426
60,20181229T031941Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T03:19:46.334000Z,9.274
61,20181229T032157Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T03:21:57.006000Z,10.1
62,20181229T032944Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T03:29:47.264000Z,22.218
63,20181229T033159Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T03:32:04.538000Z,9.582
64,20181229T034020Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T03:40:20.712000Z,22.0
65,20181229T035037Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T03:50:37.754000Z,43.36
66,20181229T040010Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T04:00:13.712000Z,17.146
67,20181229T040430Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T04:04:34.974000Z,11.83
68,20181229T040955Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T04:10:00.864000Z,17.43
69,20181229T041234Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T04:12:37.900000Z,16.274
70,20181229T042146Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T04:21:54.512000Z,15.966
71,20181229T042250Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T04:22:50.820000Z,8.988
72,20181229T043341Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T04:33:41.884000Z,7.832
73,20181229T043440Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T04:34:40.984000Z,28.772
74,20181229T043616Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T04:36:21.088000Z,3.358
75,20181229T044135Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T04:41:46.696000Z,7.132
76,20181229T044836Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T04:48:44.266000Z,4.85
77,20181229T050146Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T05:01:48.714000Z,22.49
78,20181229T050816Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T05:08:20.340000Z,23.182
79,20181229T050953Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T05:09:56.806000Z,9.296
80,20181229T051347Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T05:13:53.274000Z,8.632
81,20181229T052605Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T05:26:09.636000Z,20.108
82,20181229T053231Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T05:32:39.504000Z,19.298
83,20181229T053818Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T05:38:23.670000Z,19.5
84,20181229T054138Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T05:41:43.250000Z,23.616
85,20181229T054504Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T05:45:04.764000Z,9.638
86,20181229T054735Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T05:47:42.496000Z,8.32
87,20181229T054802Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T05:48:10.802000Z,19.324
88,20181229T055142Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T05:51:43.778000Z,13.558
89,20181229T060354Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T06:03:59.324000Z,11.674
90,20181229T060712Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T06:07:19.014000Z,17.802
91,20181229T060832Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T06:08:54.714000Z,11.77
92,20181229T061138Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T06:11:38.912000Z,11.096
93,20181229T061245Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T06:12:48.624000Z,17.262
94,20181229T061657Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T06:17:02.624000Z,15.49
95,20181229T062157Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T06:21:57.326000Z,1.01
96,20181229T062854Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T06:28:59.870000Z,17.218
97,20181229T063510Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T06:35:17.930000Z,13.718
98,20181229T064317Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T06:43:21.348000Z,18.208
99,20181229T065603Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T06:56:05.736000Z,21.604
100,20181229T070915Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T07:09:20.736000Z,15.964
101,20181229T071349Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T07:13:53.498000Z,20.032
102,20181229T071436Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T07:14:45.808000Z,5.354
103,20181229T072145Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T07:21:51.184000Z,25.766
104,20181229T072255Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T07:22:59.720000Z,3.176
105,20181229T072541Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T07:25:57.616000Z,19.444
106,20181229T073341Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T07:33:46.266000Z,11.5
107,20181229T074506Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T07:45:12.040000Z,19.442
108,20181229T074600Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T07:46:05.652000Z,7.326
109,20181229T075835Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T07:58:39.922000Z,14.686
110,20181229T080350Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T08:03:54.880000Z,21.84
111,20181229T080658Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T08:06:58.782000Z,9.33
112,20181229T081112Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T08:11:18.296000Z,16.322
113,20181229T082033Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T08:20:37.048000Z,22.312
114,20181229T083552Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T08:35:54.806000Z,19.168
115,20181229T083700Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T08:37:08.932000Z,48.546
116,20181229T085127Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T08:51:31.826000Z,18.78
117,20181229T085241Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T08:52:47.086000Z,15.306
118,20181229T090814Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T09:08:19.828000Z,7.34
119,20181229T091138Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T09:11:43.162000Z,17.574
120,20181229T091746Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T09:17:49.848000Z,28.316
121,20181229T091842Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T09:18:42.710000Z,3.442
122,20181229T092428Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T09:24:29.536000Z,50.694
123,20181229T093014Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T09:30:19.760000Z,8.554
124,20181229T093710Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T09:37:11.802000Z,68.846
125,20181229T094239Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T09:42:44.596000Z,9.552
126,20181229T094724Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T09:47:28.146000Z,37.52
127,20181229T095038Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T09:50:42.918000Z,8.9
128,20181229T095506Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T09:55:06.190000Z,29.69
129,20181229T095611Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T09:56:22.036000Z,8.872
130,20181229T100812Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T10:08:18.118000Z,18.216
131,20181229T101301Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T10:13:05.934000Z,24.272
132,20181229T102148Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T10:21:50.676000Z,15.124
133,20181229T102557Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T10:25:59.578000Z,27.226
134,20181229T103521Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T10:35:21.494000Z,59.296
135,20181229T103757Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T10:38:02.238000Z,7.638
136,20181229T103941Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T10:39:41.518000Z,3.1
137,20181229T104237Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T10:42:42.646000Z,18.358
138,20181229T105142Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T10:51:46.814000Z,19.972
139,20181229T105251Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T10:52:54.962000Z,26.974
140,20181229T105355Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T10:53:55.190000Z,28.45
141,20181229T105629Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T10:56:32.362000Z,13.17
142,20181229T110103Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T11:01:03.660000Z,2.152
143,20181229T110330Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T11:03:36.998000Z,16.918
144,20181229T111602Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T11:16:10.568000Z,6.046
145,20181229T112642Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T11:26:45.848000Z,16.59
146,20181229T112814Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T11:28:19.356000Z,8.494
147,20181229T112930Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T11:29:42.410000Z,2.438
148,20181229T113144Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T11:31:44.396000Z,21.134
149,20181229T113642Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T11:36:42.726000Z,4.198
150,20181229T114011Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T11:40:11.944000Z,35.984
151,20181229T115917Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T11:59:28.668000Z,26.038
152,20181229T122216Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T12:22:21.108000Z,3.958
153,20181229T123000Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T12:30:08.594000Z,10.674
154,20181229T123224Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T12:32:29.088000Z,7.628
155,20181229T123538Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T12:35:44.962000Z,6.066
156,20181229T125706Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T12:57:06.332000Z,22.438
157,20181229T152948Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T15:29:48.212000Z,17.786
158,20181229T155735Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T15:57:35.442000Z,3.256
159,20181229T155852Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T15:58:52.824000Z,5.058
160,20181229T160053Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T16:00:53.184000Z,2.648
161,20181229T160214Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T16:02:14.054000Z,5.668
162,20181229T160233Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T16:02:33.424000Z,1.1
163,20181229T160248Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T16:02:48.634000Z,3.51
164,20181229T160354Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T16:03:54.662000Z,7.894
165,20181229T160508Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T16:05:08.162000Z,85.738
166,20181229T161549Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T16:15:49.704000Z,9.902
167,20181229T161910Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T16:19:10.578000Z,1.514
168,20181229T162205Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T16:22:07.860000Z,16.554
169,20181229T162337Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T16:23:41.874000Z,15.688
170,20181229T162848Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T16:28:48.528000Z,21.468
171,20181229T162953Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T16:29:53.856000Z,5.808
172,20181229T163235Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T16:32:35.440000Z,26.808
173,20181229T163321Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2018-12-29T16:33:21.768000Z,19.838
