,event_id,stations,ref_time,ref_duration,group
0,20181227T002319Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T00:23:19.472000Z,25.371758,54
1,20181227T003817Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T00:38:17.482000Z,26.955759,39
2,20181227T005534Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T00:55:34.688000Z,25.371758,54
3,20181227T010016Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T01:00:16.444000Z,26.955759,39
4,20181227T012426Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T01:24:26.812000Z,25.371758,54
5,20181227T012609Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T01:26:09.260000Z,26.955759,39
6,20181227T020507Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T02:05:07.246000Z,26.955759,39
7,20181227T021501Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T02:15:01.886000Z,26.611759,44
8,20181227T022554Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T02:25:54.422000Z,25.371758,54
9,20181227T022805Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T02:28:05.792000Z,26.955759,39
10,20181227T025351Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T02:53:51.824000Z,26.611759,44
11,20181227T025726Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T02:57:26.420000Z,25.371758,54
12,20181227T030829Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T03:08:29.302000Z,26.955759,39
13,20181227T032936Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T03:29:36.940000Z,25.371758,54
14,20181227T033000Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T03:30:00.476000Z,26.955759,39
15,20181227T035838Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T03:58:38.820000Z,26.955759,39
16,20181227T040052Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T04:00:52.870000Z,26.611759,44
17,20181227T040151Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T04:01:51.672000Z,25.371758,54
18,20181227T043831Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T04:38:31.402000Z,25.371758,54
19,20181227T043913Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T04:39:13.692000Z,26.611759,44
20,20181227T044555Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T04:45:55.402000Z,26.955759,39
21,20181227T051057Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T05:10:57.528000Z,25.371758,54
22,20181227T051131Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T05:11:31.436000Z,26.611759,44
23,20181227T052305Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T05:23:05.754000Z,26.955759,39
24,20181227T053833Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T05:38:33.146000Z,25.371758,54
25,20181227T060827Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T06:08:27.712000Z,25.371758,54
26,20181227T062236Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T06:22:36.290000Z,26.611759,44
27,20181227T062742Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T06:27:42.574000Z,26.955759,39
28,20181227T065207Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T06:52:07.666000Z,28.367758,33
29,20181227T065653Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T06:56:53.724000Z,26.955759,39
30,20181227T071250Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T07:12:50.838000Z,25.371758,54
31,20181227T073834Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T07:38:34.854000Z,28.367758,33
32,20181227T074023Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T07:40:23.090000Z,26.955759,39
33,20181227T074323Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-27T07:43:23.526000Z,25.371758,54
