,event_id,stations,ref_time,ref_duration,group
0,20181225T004851Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",2018-12-25T00:48:51.118000Z,26.611759,44
1,20181225T013325Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",2018-12-25T01:33:25.858000Z,26.611759,44
2,20181225T030340Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",2018-12-25T03:03:40.844000Z,26.611759,44
3,20181225T032950Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",2018-12-25T03:29:50.622000Z,26.611759,44
4,20181225T073944Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-25T07:39:44.564000Z,25.371758,54
5,20181225T074350Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",2018-12-25T07:43:50.302000Z,26.611759,44
6,20181225T075414Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-25T07:54:14.788000Z,26.955759,39
7,20181225T092147Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",2018-12-25T09:21:47.010000Z,26.611759,44
8,20181225T105141Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-25T10:51:41.592000Z,25.371758,54
9,20181225T112025Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-25T11:20:25.124000Z,25.371758,54
10,20181225T113305Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",2018-12-25T11:33:05.606000Z,26.611759,44
11,20181225T122332Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-25T12:23:32.762000Z,25.371758,54
12,20181225T122827Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-25T12:28:27.520000Z,26.955759,39
13,20181225T155330Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",2018-12-25T15:53:30.012000Z,28.945758,34
