,event_id,station,components,time,duration
0,20190125T011929Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T01:19:41.312000Z,7.604
1,20190125T114259Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T11:43:06.442000Z,15.856
2,20190125T123413Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T12:34:13.574000Z,12.092
3,20190125T125311Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T12:53:19.370000Z,18.188
4,20190125T130504Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T13:05:11.060000Z,17.114
5,20190125T144225Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T14:42:32.180000Z,14.308
6,20190125T161201Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T16:11:57.040000Z,10.896
7,20190125T164710Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T16:47:21.414000Z,10.344
8,20190125T171311Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T17:13:17.860000Z,1.268
9,20190125T233030Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T23:30:37.288000Z,10.016
10,20190125T001534Z,1J.TI3A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T00:15:40.084000Z,12.452
11,20190125T011517Z,1J.TI3A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T01:15:24.450000Z,12.138
12,20190125T011929Z,1J.TI3A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T01:19:35.656000Z,10.158
13,20190125T110842Z,1J.TI3A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T11:08:46.026000Z,8.55
14,20190125T121709Z,1J.TI3A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T12:17:10.916000Z,9.274
15,20190125T125311Z,1J.TI3A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T12:53:18.150000Z,14.878
16,20190125T130504Z,1J.TI3A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T13:05:12.278000Z,7.828
17,20190125T160320Z,1J.TI3A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T16:03:24.112000Z,7.664
18,20190125T164710Z,1J.TI3A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T16:47:16.752000Z,9.282
19,20190125T233030Z,1J.TI3A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T23:30:29.666000Z,10.754
20,20190125T001534Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T00:15:39.684000Z,17.038
21,20190125T011517Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T01:15:23.490000Z,17.224
22,20190125T011929Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T01:19:31.528000Z,13.762
23,20190125T110842Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T11:08:48.542000Z,12.152
24,20190125T114259Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T11:43:04.216000Z,15.662
25,20190125T121709Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T12:17:16.496000Z,9.862
26,20190125T123413Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T12:34:17.554000Z,10.236
27,20190125T125311Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T12:53:17.966000Z,17.73
28,20190125T130504Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T13:05:10.346000Z,13.282
29,20190125T144225Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T14:42:15.428000Z,9.096
30,20190125T160320Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T16:03:27.240000Z,10.926
31,20190125T161201Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T16:12:07.676000Z,7.658
32,20190125T164710Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T16:47:15.710000Z,13.336
33,20190125T171311Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T17:13:12.504000Z,9.396
34,20190125T233030Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T23:30:31.668000Z,13.002
35,20190125T001534Z,1J.TI6A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T00:15:40.710000Z,12.56
