,event_id,stations,ref_time,ref_duration,group
0,20181228T010058Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",2018-12-28T01:00:58.490000Z,26.611759,44
1,20181228T024245Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",2018-12-28T02:42:45.212000Z,26.611759,44
2,20181228T030831Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-28T03:08:31.798000Z,28.367758,33
3,20181228T031741Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",2018-12-28T03:17:41.542000Z,26.611759,44
4,20181228T035206Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",2018-12-28T03:52:06.302000Z,26.611759,44
5,20181228T042504Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",2018-12-28T04:25:04.918000Z,26.611759,44
6,20181228T105357Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-28T10:53:57.392000Z,26.955759,39
7,20181228T115457Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.']",2018-12-28T11:54:57.758000Z,17.745758,116
8,20181228T122823Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",2018-12-28T12:28:23.190000Z,26.611759,44
9,20181228T160720Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",2018-12-28T16:07:20.434000Z,26.611759,44
10,20181228T212125Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-28T21:21:25.038000Z,28.367758,33
11,20181228T214457Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2018-12-28T21:44:57.210000Z,26.955759,39
