,event_id,station,components,time,duration
0,20190125T001537Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T00:15:37.756000Z,30.595758
1,20190125T001537Z,1J.TI3A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T00:15:37.756000Z,30.595758
2,20190125T001537Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T00:15:37.756000Z,30.595758
3,20190125T001537Z,1J.TI6A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T00:15:37.756000Z,30.595758
4,20190125T001537Z,1J.TI1A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T00:15:37.756000Z,30.595758
5,20190125T011521Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T01:15:21.624000Z,30.595758
6,20190125T011521Z,1J.TI3A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T01:15:21.624000Z,30.595758
7,20190125T011521Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T01:15:21.624000Z,30.595758
8,20190125T011521Z,1J.TI6A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T01:15:21.624000Z,30.595758
9,20190125T011521Z,1J.TI1A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T01:15:21.624000Z,30.595758
10,20190125T094130Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T09:41:30.096000Z,26.733758
11,20190125T094130Z,1J.TI3A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T09:41:30.096000Z,26.733758
12,20190125T094130Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T09:41:30.096000Z,26.733758
13,20190125T094130Z,1J.TI6A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T09:41:30.096000Z,26.733758
14,20190125T094130Z,1J.TI1A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T09:41:30.096000Z,26.733758
15,20190125T114301Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T11:43:01.650000Z,26.955759
16,20190125T114301Z,1J.TI3A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T11:43:01.650000Z,26.955759
17,20190125T114301Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T11:43:01.650000Z,26.955759
18,20190125T114301Z,1J.TI6A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T11:43:01.650000Z,26.955759
19,20190125T125316Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T12:53:16.096000Z,30.595758
20,20190125T125316Z,1J.TI3A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T12:53:16.096000Z,30.595758
21,20190125T125316Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T12:53:16.096000Z,30.595758
22,20190125T125316Z,1J.TI6A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T12:53:16.096000Z,30.595758
23,20190125T125316Z,1J.TI1A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T12:53:16.096000Z,30.595758
24,20190125T130507Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T13:05:07.778000Z,26.733758
25,20190125T130507Z,1J.TI3A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T13:05:07.778000Z,26.733758
26,20190125T130507Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T13:05:07.778000Z,26.733758
27,20190125T130507Z,1J.TI6A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T13:05:07.778000Z,26.733758
28,20190125T130507Z,1J.TI1A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T13:05:07.778000Z,26.733758
29,20190125T133343Z,1J.TI3A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T13:33:43.572000Z,17.745758
30,20190125T133343Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T13:33:43.572000Z,17.745758
31,20190125T133343Z,1J.TI6A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T13:33:43.572000Z,17.745758
32,20190125T142849Z,1J.TI3A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T14:28:49.090000Z,17.745758
33,20190125T142849Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T14:28:49.090000Z,17.745758
34,20190125T142849Z,1J.TI6A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T14:28:49.090000Z,17.745758
35,20190125T164713Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T16:47:13.114000Z,26.733758
36,20190125T164713Z,1J.TI3A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T16:47:13.114000Z,26.733758
37,20190125T164713Z,1J.TI8A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T16:47:13.114000Z,26.733758
38,20190125T164713Z,1J.TI6A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T16:47:13.114000Z,26.733758
39,20190125T164713Z,1J.TI1A.,"['CH1', 'CH2', 'CHZ']",2019-01-25T16:47:13.114000Z,26.733758
