,event_id,station,components,time,duration
0,20190127T000815Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T00:08:20.940000Z,2.47
1,20190127T001345Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T00:13:46.730000Z,0.37
2,20190127T001520Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T00:15:15.410000Z,0.45
3,20190127T001614Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T00:16:19.510000Z,2.58
4,20190127T001618Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T00:16:19.510000Z,2.58
5,20190127T002210Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T00:22:16.280000Z,0.75
6,20190127T002641Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T00:26:45.880000Z,3.39
7,20190127T002842Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T00:28:49.010000Z,8.85
8,20190127T003058Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T00:31:04.370000Z,1.23
9,20190127T003219Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T00:32:21.840000Z,1.08
10,20190127T003224Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T00:32:21.840000Z,1.08
11,20190127T003336Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T00:33:19.780000Z,22.7
12,20190127T003525Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T00:35:25.930000Z,1.75
13,20190127T003554Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T00:36:01.520000Z,1.36
14,20190127T003641Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T00:36:41.070000Z,2.39
15,20190127T004040Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T00:40:46.230000Z,20.58
16,20190127T004135Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T00:41:41.090000Z,1.35
17,20190127T004540Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T00:45:47.270000Z,1.2
18,20190127T004711Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T00:47:17.600000Z,30.02
19,20190127T004959Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T00:49:58.190000Z,1.06
20,20190127T005158Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T00:52:00.410000Z,3.11
21,20190127T005359Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T00:54:05.400000Z,5.98
22,20190127T005453Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T00:55:00.110000Z,8.18
23,20190127T010236Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T01:02:10.420000Z,33.5
24,20190127T011424Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T01:13:28.740000Z,56.13
25,20190127T011803Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T01:17:56.440000Z,1.17
26,20190127T012201Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T01:22:08.060000Z,0.95
27,20190127T012202Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T01:22:08.060000Z,0.95
28,20190127T012345Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T01:23:51.130000Z,1.37
29,20190127T012633Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T01:26:40.670000Z,8.17
30,20190127T012809Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T01:28:13.760000Z,1.5
31,20190127T013038Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T01:30:44.850000Z,1.65
32,20190127T013225Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-27T01:32:29.670000Z,4.01
