,Network,Station,Location,Channel,Start,End
0,1J,TI4A,,CH1,2018-12-24T13:50:17.724000Z,2018-12-25T00:00:00.000000Z
1,1J,TI4A,,CH2,2018-12-24T13:50:17.464000Z,2018-12-25T00:00:00.000000Z
2,1J,TI4A,,CHZ,2018-12-24T13:50:17.694000Z,2018-12-25T00:00:00.000000Z
3,1J,TI3A,,CH1,2018-12-24T00:00:00.000000Z,2018-12-25T00:00:00.000000Z
4,1J,TI3A,,CH2,2018-12-24T00:00:00.000000Z,2018-12-25T00:00:00.000000Z
5,1J,TI3A,,CHZ,2018-12-24T00:00:00.000000Z,2018-12-25T00:00:00.000000Z
6,1J,TI8A,,CH1,2018-12-24T00:00:00.000000Z,2018-12-25T00:00:00.000000Z
7,1J,TI8A,,CH2,2018-12-24T00:00:00.000000Z,2018-12-25T00:00:00.000000Z
8,1J,TI8A,,CHZ,2018-12-24T00:00:00.000000Z,2018-12-25T00:00:00.000000Z
9,1J,TI6A,,CH1,2018-12-24T12:51:31.076000Z,2018-12-25T00:00:00.000000Z
10,1J,TI6A,,CH2,2018-12-24T12:51:31.046000Z,2018-12-25T00:00:00.000000Z
11,1J,TI6A,,CHZ,2018-12-24T12:51:31.480000Z,2018-12-25T00:00:00.000000Z
12,1J,TI1A,,CH1,2018-12-24T16:15:19.890000Z,2018-12-25T00:00:00.000000Z
13,1J,TI1A,,CH2,2018-12-24T16:15:20.094000Z,2018-12-25T00:00:00.000000Z
14,1J,TI1A,,CHZ,2018-12-24T16:15:20.022000Z,2018-12-25T00:00:00.000000Z
15,1J,TI7A,,CH1,2018-12-24T14:45:14.798000Z,2018-12-25T00:00:00.000000Z
16,1J,TI7A,,CH2,2018-12-24T14:45:14.384000Z,2018-12-25T00:00:00.000000Z
17,1J,TI7A,,CHZ,2018-12-24T14:45:14.786000Z,2018-12-25T00:00:00.000000Z
18,1J,TI4A,,CH1,2018-12-25T00:00:00.000000Z,2018-12-26T00:00:00.000000Z
19,1J,TI4A,,CH2,2018-12-25T00:00:00.000000Z,2018-12-26T00:00:00.000000Z
20,1J,TI4A,,CHZ,2018-12-25T00:00:00.000000Z,2018-12-26T00:00:00.000000Z
21,1J,TI3A,,CH1,2018-12-25T00:00:00.000000Z,2018-12-26T00:00:00.000000Z
22,1J,TI3A,,CH2,2018-12-25T00:00:00.000000Z,2018-12-26T00:00:00.000000Z
23,1J,TI3A,,CHZ,2018-12-25T00:00:00.000000Z,2018-12-26T00:00:00.000000Z
24,1J,TI8A,,CH1,2018-12-25T00:00:00.000000Z,2018-12-26T00:00:00.000000Z
25,1J,TI8A,,CH2,2018-12-25T00:00:00.000000Z,2018-12-26T00:00:00.000000Z
26,1J,TI8A,,CHZ,2018-12-25T00:00:00.000000Z,2018-12-26T00:00:00.000000Z
27,1J,TI6A,,CH1,2018-12-25T00:00:00.000000Z,2018-12-26T00:00:00.000000Z
28,1J,TI6A,,CH2,2018-12-25T00:00:00.000000Z,2018-12-26T00:00:00.000000Z
29,1J,TI6A,,CHZ,2018-12-25T00:00:00.000000Z,2018-12-26T00:00:00.000000Z
30,1J,TI1A,,CH1,2018-12-25T00:00:00.000000Z,2018-12-26T00:00:00.000000Z
31,1J,TI1A,,CH2,2018-12-25T00:00:00.000000Z,2018-12-26T00:00:00.000000Z
32,1J,TI1A,,CHZ,2018-12-25T00:00:00.000000Z,2018-12-26T00:00:00.000000Z
33,1J,TI7A,,CH1,2018-12-25T00:00:00.000000Z,2018-12-26T00:00:00.000000Z
34,1J,TI7A,,CH2,2018-12-25T00:00:00.000000Z,2018-12-26T00:00:00.000000Z
35,1J,TI7A,,CHZ,2018-12-25T00:00:00.000000Z,2018-12-26T00:00:00.000000Z
36,1J,TI4A,,CH1,2018-12-26T00:00:00.000000Z,2018-12-27T00:00:00.000000Z
37,1J,TI4A,,CH2,2018-12-26T00:00:00.000000Z,2018-12-27T00:00:00.000000Z
38,1J,TI4A,,CHZ,2018-12-26T00:00:00.000000Z,2018-12-27T00:00:00.000000Z
39,1J,TI3A,,CH1,2018-12-26T00:00:00.000000Z,2018-12-27T00:00:00.000000Z
40,1J,TI3A,,CH2,2018-12-26T00:00:00.000000Z,2018-12-27T00:00:00.000000Z
41,1J,TI3A,,CHZ,2018-12-26T00:00:00.000000Z,2018-12-27T00:00:00.000000Z
42,1J,TI8A,,CH1,2018-12-26T00:00:00.000000Z,2018-12-27T00:00:00.000000Z
43,1J,TI8A,,CH2,2018-12-26T00:00:00.000000Z,2018-12-27T00:00:00.000000Z
44,1J,TI8A,,CHZ,2018-12-26T00:00:00.000000Z,2018-12-27T00:00:00.000000Z
45,1J,TI6A,,CH1,2018-12-26T00:00:00.000000Z,2018-12-27T00:00:00.000000Z
46,1J,TI6A,,CH2,2018-12-26T00:00:00.000000Z,2018-12-27T00:00:00.000000Z
47,1J,TI6A,,CHZ,2018-12-26T00:00:00.000000Z,2018-12-27T00:00:00.000000Z
48,1J,TI1A,,CH1,2018-12-26T00:00:00.000000Z,2018-12-27T00:00:00.000000Z
49,1J,TI1A,,CH2,2018-12-26T00:00:00.000000Z,2018-12-27T00:00:00.000000Z
50,1J,TI1A,,CHZ,2018-12-26T00:00:00.000000Z,2018-12-27T00:00:00.000000Z
51,1J,TI7A,,CH1,2018-12-26T00:00:00.000000Z,2018-12-27T00:00:00.000000Z
52,1J,TI7A,,CH2,2018-12-26T00:00:00.000000Z,2018-12-27T00:00:00.000000Z
53,1J,TI7A,,CHZ,2018-12-26T00:00:00.000000Z,2018-12-27T00:00:00.000000Z
54,1J,TI4A,,CH1,2018-12-27T00:00:00.000000Z,2018-12-28T00:00:00.000000Z
55,1J,TI4A,,CH2,2018-12-27T00:00:00.000000Z,2018-12-28T00:00:00.000000Z
56,1J,TI4A,,CHZ,2018-12-27T00:00:00.000000Z,2018-12-28T00:00:00.000000Z
57,1J,TI3A,,CH1,2018-12-27T00:00:00.000000Z,2018-12-28T00:00:00.000000Z
58,1J,TI3A,,CH2,2018-12-27T00:00:00.000000Z,2018-12-28T00:00:00.000000Z
59,1J,TI3A,,CHZ,2018-12-27T00:00:00.000000Z,2018-12-28T00:00:00.000000Z
60,1J,TI8A,,CH1,2018-12-27T00:00:00.000000Z,2018-12-28T00:00:00.000000Z
61,1J,TI8A,,CH2,2018-12-27T00:00:00.000000Z,2018-12-28T00:00:00.000000Z
62,1J,TI8A,,CHZ,2018-12-27T00:00:00.000000Z,2018-12-28T00:00:00.000000Z
63,1J,TI6A,,CH1,2018-12-27T00:00:00.000000Z,2018-12-28T00:00:00.000000Z
64,1J,TI6A,,CH2,2018-12-27T00:00:00.000000Z,2018-12-28T00:00:00.000000Z
65,1J,TI6A,,CHZ,2018-12-27T00:00:00.000000Z,2018-12-28T00:00:00.000000Z
66,1J,TI1A,,CH1,2018-12-27T00:00:00.000000Z,2018-12-28T00:00:00.000000Z
67,1J,TI1A,,CH2,2018-12-27T00:00:00.000000Z,2018-12-28T00:00:00.000000Z
68,1J,TI1A,,CHZ,2018-12-27T00:00:00.000000Z,2018-12-28T00:00:00.000000Z
69,1J,TI7A,,CH1,2018-12-27T00:00:00.000000Z,2018-12-28T00:00:00.000000Z
70,1J,TI7A,,CH2,2018-12-27T00:00:00.000000Z,2018-12-28T00:00:00.000000Z
71,1J,TI7A,,CHZ,2018-12-27T00:00:00.000000Z,2018-12-28T00:00:00.000000Z
72,1J,TI4A,,CH1,2018-12-28T00:00:00.000000Z,2018-12-29T00:00:00.000000Z
73,1J,TI4A,,CH2,2018-12-28T00:00:00.000000Z,2018-12-29T00:00:00.000000Z
74,1J,TI4A,,CHZ,2018-12-28T00:00:00.000000Z,2018-12-29T00:00:00.000000Z
75,1J,TI3A,,CH1,2018-12-28T00:00:00.000000Z,2018-12-29T00:00:00.000000Z
76,1J,TI3A,,CH2,2018-12-28T00:00:00.000000Z,2018-12-29T00:00:00.000000Z
77,1J,TI3A,,CHZ,2018-12-28T00:00:00.000000Z,2018-12-29T00:00:00.000000Z
78,1J,TI8A,,CH1,2018-12-28T00:00:00.000000Z,2018-12-29T00:00:00.000000Z
79,1J,TI8A,,CH2,2018-12-28T00:00:00.000000Z,2018-12-29T00:00:00.000000Z
80,1J,TI8A,,CHZ,2018-12-28T00:00:00.000000Z,2018-12-29T00:00:00.000000Z
81,1J,TI6A,,CH1,2018-12-28T00:00:00.000000Z,2018-12-29T00:00:00.000000Z
82,1J,TI6A,,CH2,2018-12-28T00:00:00.000000Z,2018-12-29T00:00:00.000000Z
83,1J,TI6A,,CHZ,2018-12-28T00:00:00.000000Z,2018-12-29T00:00:00.000000Z
84,1J,TI1A,,CH1,2018-12-28T00:00:00.000000Z,2018-12-29T00:00:00.000000Z
85,1J,TI1A,,CH2,2018-12-28T00:00:00.000000Z,2018-12-29T00:00:00.000000Z
86,1J,TI1A,,CHZ,2018-12-28T00:00:00.000000Z,2018-12-29T00:00:00.000000Z
87,1J,TI7A,,CH1,2018-12-28T00:00:00.000000Z,2018-12-29T00:00:00.000000Z
88,1J,TI7A,,CH2,2018-12-28T00:00:00.000000Z,2018-12-29T00:00:00.000000Z
89,1J,TI7A,,CHZ,2018-12-28T00:00:00.000000Z,2018-12-29T00:00:00.000000Z
90,1J,TI4A,,CH1,2018-12-29T00:00:00.000000Z,2018-12-30T00:00:00.000000Z
91,1J,TI4A,,CH2,2018-12-29T00:00:00.000000Z,2018-12-30T00:00:00.000000Z
92,1J,TI4A,,CHZ,2018-12-29T00:00:00.000000Z,2018-12-30T00:00:00.000000Z
93,1J,TI3A,,CH1,2018-12-29T00:00:00.000000Z,2018-12-30T00:00:00.000000Z
94,1J,TI3A,,CH2,2018-12-29T00:00:00.000000Z,2018-12-30T00:00:00.000000Z
95,1J,TI3A,,CHZ,2018-12-29T00:00:00.000000Z,2018-12-30T00:00:00.000000Z
96,1J,TI8A,,CH1,2018-12-29T00:00:00.000000Z,2018-12-30T00:00:00.000000Z
97,1J,TI8A,,CH2,2018-12-29T00:00:00.000000Z,2018-12-30T00:00:00.000000Z
98,1J,TI8A,,CHZ,2018-12-29T00:00:00.000000Z,2018-12-30T00:00:00.000000Z
99,1J,TI6A,,CH1,2018-12-29T00:00:00.000000Z,2018-12-30T00:00:00.000000Z
100,1J,TI6A,,CH2,2018-12-29T00:00:00.000000Z,2018-12-30T00:00:00.000000Z
101,1J,TI6A,,CHZ,2018-12-29T00:00:00.000000Z,2018-12-30T00:00:00.000000Z
102,1J,TI1A,,CH1,2018-12-29T00:00:00.000000Z,2018-12-30T00:00:00.000000Z
103,1J,TI1A,,CH2,2018-12-29T00:00:00.000000Z,2018-12-30T00:00:00.000000Z
104,1J,TI1A,,CHZ,2018-12-29T00:00:00.000000Z,2018-12-30T00:00:00.000000Z
105,1J,TI7A,,CH1,2018-12-29T00:00:00.000000Z,2018-12-30T00:00:00.000000Z
106,1J,TI7A,,CH2,2018-12-29T00:00:00.000000Z,2018-12-30T00:00:00.000000Z
107,1J,TI7A,,CHZ,2018-12-29T00:00:00.000000Z,2018-12-30T00:00:00.000000Z
108,1J,TI4A,,CH1,2018-12-30T00:00:00.000000Z,2018-12-31T00:00:00.000000Z
109,1J,TI4A,,CH2,2018-12-30T00:00:00.000000Z,2018-12-31T00:00:00.000000Z
110,1J,TI4A,,CHZ,2018-12-30T00:00:00.000000Z,2018-12-31T00:00:00.000000Z
111,1J,TI3A,,CH1,2018-12-30T00:00:00.000000Z,2018-12-31T00:00:00.000000Z
112,1J,TI3A,,CH2,2018-12-30T00:00:00.000000Z,2018-12-31T00:00:00.000000Z
113,1J,TI3A,,CHZ,2018-12-30T00:00:00.000000Z,2018-12-31T00:00:00.000000Z
114,1J,TI8A,,CH1,2018-12-30T00:00:00.000000Z,2018-12-31T00:00:00.000000Z
115,1J,TI8A,,CH2,2018-12-30T00:00:00.000000Z,2018-12-31T00:00:00.000000Z
116,1J,TI8A,,CHZ,2018-12-30T00:00:00.000000Z,2018-12-31T00:00:00.000000Z
117,1J,TI6A,,CH1,2018-12-30T00:00:00.000000Z,2018-12-31T00:00:00.000000Z
118,1J,TI6A,,CH2,2018-12-30T00:00:00.000000Z,2018-12-31T00:00:00.000000Z
119,1J,TI6A,,CHZ,2018-12-30T00:00:00.000000Z,2018-12-31T00:00:00.000000Z
120,1J,TI1A,,CH1,2018-12-30T00:00:00.000000Z,2018-12-31T00:00:00.000000Z
121,1J,TI1A,,CH2,2018-12-30T00:00:00.000000Z,2018-12-31T00:00:00.000000Z
122,1J,TI1A,,CHZ,2018-12-30T00:00:00.000000Z,2018-12-31T00:00:00.000000Z
123,1J,TI7A,,CH1,2018-12-30T00:00:00.000000Z,2018-12-31T00:00:00.000000Z
124,1J,TI7A,,CH2,2018-12-30T00:00:00.000000Z,2018-12-31T00:00:00.000000Z
125,1J,TI7A,,CHZ,2018-12-30T00:00:00.000000Z,2018-12-31T00:00:00.000000Z
126,1J,TI4A,,CH1,2018-12-31T00:00:00.000000Z,2019-01-01T00:00:00.000000Z
127,1J,TI4A,,CH2,2018-12-31T00:00:00.000000Z,2019-01-01T00:00:00.000000Z
128,1J,TI4A,,CHZ,2018-12-31T00:00:00.000000Z,2019-01-01T00:00:00.000000Z
129,1J,TI3A,,CH1,2018-12-31T00:00:00.000000Z,2019-01-01T00:00:00.000000Z
130,1J,TI3A,,CH2,2018-12-31T00:00:00.000000Z,2019-01-01T00:00:00.000000Z
131,1J,TI3A,,CHZ,2018-12-31T00:00:00.000000Z,2019-01-01T00:00:00.000000Z
132,1J,TI8A,,CH1,2018-12-31T00:00:00.000000Z,2019-01-01T00:00:00.000000Z
133,1J,TI8A,,CH2,2018-12-31T00:00:00.000000Z,2019-01-01T00:00:00.000000Z
134,1J,TI8A,,CHZ,2018-12-31T00:00:00.000000Z,2019-01-01T00:00:00.000000Z
135,1J,TI6A,,CH1,2018-12-31T00:00:00.000000Z,2019-01-01T00:00:00.000000Z
136,1J,TI6A,,CH2,2018-12-31T00:00:00.000000Z,2019-01-01T00:00:00.000000Z
137,1J,TI6A,,CHZ,2018-12-31T00:00:00.000000Z,2019-01-01T00:00:00.000000Z
138,1J,TI1A,,CH1,2018-12-31T00:00:00.000000Z,2019-01-01T00:00:00.000000Z
139,1J,TI1A,,CH2,2018-12-31T00:00:00.000000Z,2019-01-01T00:00:00.000000Z
140,1J,TI1A,,CHZ,2018-12-31T00:00:00.000000Z,2019-01-01T00:00:00.000000Z
141,1J,TI7A,,CH1,2018-12-31T00:00:00.000000Z,2019-01-01T00:00:00.000000Z
142,1J,TI7A,,CH2,2018-12-31T00:00:00.000000Z,2019-01-01T00:00:00.000000Z
143,1J,TI7A,,CHZ,2018-12-31T00:00:00.000000Z,2019-01-01T00:00:00.000000Z
144,1J,TI4A,,CH1,2019-01-01T00:00:00.000000Z,2019-01-02T00:00:00.000000Z
145,1J,TI4A,,CH2,2019-01-01T00:00:00.000000Z,2019-01-02T00:00:00.000000Z
146,1J,TI4A,,CHZ,2019-01-01T00:00:00.000000Z,2019-01-02T00:00:00.000000Z
147,1J,TI3A,,CH1,2019-01-01T00:00:00.000000Z,2019-01-02T00:00:00.000000Z
148,1J,TI3A,,CH2,2019-01-01T00:00:00.000000Z,2019-01-02T00:00:00.000000Z
149,1J,TI3A,,CHZ,2019-01-01T00:00:00.000000Z,2019-01-02T00:00:00.000000Z
150,1J,TI8A,,CH1,2019-01-01T00:00:00.000000Z,2019-01-02T00:00:00.000000Z
151,1J,TI8A,,CH2,2019-01-01T00:00:00.000000Z,2019-01-02T00:00:00.000000Z
152,1J,TI8A,,CHZ,2019-01-01T00:00:00.000000Z,2019-01-02T00:00:00.000000Z
153,1J,TI6A,,CH1,2019-01-01T00:00:00.000000Z,2019-01-02T00:00:00.000000Z
154,1J,TI6A,,CH2,2019-01-01T00:00:00.000000Z,2019-01-02T00:00:00.000000Z
155,1J,TI6A,,CHZ,2019-01-01T00:00:00.000000Z,2019-01-02T00:00:00.000000Z
156,1J,TI1A,,CH1,2019-01-01T00:00:00.000000Z,2019-01-02T00:00:00.000000Z
157,1J,TI1A,,CH2,2019-01-01T00:00:00.000000Z,2019-01-02T00:00:00.000000Z
158,1J,TI1A,,CHZ,2019-01-01T00:00:00.000000Z,2019-01-02T00:00:00.000000Z
159,1J,TI7A,,CH1,2019-01-01T00:00:00.000000Z,2019-01-02T00:00:00.000000Z
160,1J,TI7A,,CH2,2019-01-01T00:00:00.000000Z,2019-01-02T00:00:00.000000Z
161,1J,TI7A,,CHZ,2019-01-01T00:00:00.000000Z,2019-01-02T00:00:00.000000Z
162,1J,TI4A,,CH1,2019-01-02T00:00:00.000000Z,2019-01-03T00:00:00.000000Z
163,1J,TI4A,,CH2,2019-01-02T00:00:00.000000Z,2019-01-03T00:00:00.000000Z
164,1J,TI4A,,CHZ,2019-01-02T00:00:00.000000Z,2019-01-03T00:00:00.000000Z
165,1J,TI3A,,CH1,2019-01-02T00:00:00.000000Z,2019-01-03T00:00:00.000000Z
166,1J,TI3A,,CH2,2019-01-02T00:00:00.000000Z,2019-01-03T00:00:00.000000Z
167,1J,TI3A,,CHZ,2019-01-02T00:00:00.000000Z,2019-01-03T00:00:00.000000Z
168,1J,TI8A,,CH1,2019-01-02T00:00:00.000000Z,2019-01-03T00:00:00.000000Z
169,1J,TI8A,,CH2,2019-01-02T00:00:00.000000Z,2019-01-03T00:00:00.000000Z
170,1J,TI8A,,CHZ,2019-01-02T00:00:00.000000Z,2019-01-03T00:00:00.000000Z
171,1J,TI6A,,CH1,2019-01-02T00:00:00.000000Z,2019-01-03T00:00:00.000000Z
172,1J,TI6A,,CH2,2019-01-02T00:00:00.000000Z,2019-01-03T00:00:00.000000Z
173,1J,TI6A,,CHZ,2019-01-02T00:00:00.000000Z,2019-01-03T00:00:00.000000Z
174,1J,TI1A,,CH1,2019-01-02T00:00:00.000000Z,2019-01-03T00:00:00.000000Z
175,1J,TI1A,,CH2,2019-01-02T00:00:00.000000Z,2019-01-03T00:00:00.000000Z
176,1J,TI1A,,CHZ,2019-01-02T00:00:00.000000Z,2019-01-03T00:00:00.000000Z
177,1J,TI7A,,CH1,2019-01-02T00:00:00.000000Z,2019-01-03T00:00:00.000000Z
178,1J,TI7A,,CH2,2019-01-02T00:00:00.000000Z,2019-01-03T00:00:00.000000Z
179,1J,TI7A,,CHZ,2019-01-02T00:00:00.000000Z,2019-01-03T00:00:00.000000Z
180,1J,TI4A,,CH1,2019-01-03T00:00:00.000000Z,2019-01-04T00:00:00.000000Z
181,1J,TI4A,,CH2,2019-01-03T00:00:00.000000Z,2019-01-04T00:00:00.000000Z
182,1J,TI4A,,CHZ,2019-01-03T00:00:00.000000Z,2019-01-04T00:00:00.000000Z
183,1J,TI3A,,CH1,2019-01-03T00:00:00.000000Z,2019-01-04T00:00:00.000000Z
184,1J,TI3A,,CH2,2019-01-03T00:00:00.000000Z,2019-01-04T00:00:00.000000Z
185,1J,TI3A,,CHZ,2019-01-03T00:00:00.000000Z,2019-01-04T00:00:00.000000Z
186,1J,TI8A,,CH1,2019-01-03T00:00:00.000000Z,2019-01-04T00:00:00.000000Z
187,1J,TI8A,,CH2,2019-01-03T00:00:00.000000Z,2019-01-04T00:00:00.000000Z
188,1J,TI8A,,CHZ,2019-01-03T00:00:00.000000Z,2019-01-04T00:00:00.000000Z
189,1J,TI6A,,CH1,2019-01-03T00:00:00.000000Z,2019-01-04T00:00:00.000000Z
190,1J,TI6A,,CH2,2019-01-03T00:00:00.000000Z,2019-01-04T00:00:00.000000Z
191,1J,TI6A,,CHZ,2019-01-03T00:00:00.000000Z,2019-01-04T00:00:00.000000Z
192,1J,TI1A,,CH1,2019-01-03T00:00:00.000000Z,2019-01-04T00:00:00.000000Z
193,1J,TI1A,,CH2,2019-01-03T00:00:00.000000Z,2019-01-04T00:00:00.000000Z
194,1J,TI1A,,CHZ,2019-01-03T00:00:00.000000Z,2019-01-04T00:00:00.000000Z
195,1J,TI7A,,CH1,2019-01-03T00:00:00.000000Z,2019-01-04T00:00:00.000000Z
196,1J,TI7A,,CH2,2019-01-03T00:00:00.000000Z,2019-01-04T00:00:00.000000Z
197,1J,TI7A,,CHZ,2019-01-03T00:00:00.000000Z,2019-01-04T00:00:00.000000Z
198,1J,TI4A,,CH1,2019-01-04T00:00:00.000000Z,2019-01-05T00:00:00.000000Z
199,1J,TI4A,,CH2,2019-01-04T00:00:00.000000Z,2019-01-05T00:00:00.000000Z
200,1J,TI4A,,CHZ,2019-01-04T00:00:00.000000Z,2019-01-05T00:00:00.000000Z
201,1J,TI3A,,CH1,2019-01-04T00:00:00.000000Z,2019-01-05T00:00:00.000000Z
202,1J,TI3A,,CH2,2019-01-04T00:00:00.000000Z,2019-01-05T00:00:00.000000Z
203,1J,TI3A,,CHZ,2019-01-04T00:00:00.000000Z,2019-01-05T00:00:00.000000Z
204,1J,TI8A,,CH1,2019-01-04T00:00:00.000000Z,2019-01-05T00:00:00.000000Z
205,1J,TI8A,,CH2,2019-01-04T00:00:00.000000Z,2019-01-05T00:00:00.000000Z
206,1J,TI8A,,CHZ,2019-01-04T00:00:00.000000Z,2019-01-05T00:00:00.000000Z
207,1J,TI6A,,CH1,2019-01-04T00:00:00.000000Z,2019-01-05T00:00:00.000000Z
208,1J,TI6A,,CH2,2019-01-04T00:00:00.000000Z,2019-01-05T00:00:00.000000Z
209,1J,TI6A,,CHZ,2019-01-04T00:00:00.000000Z,2019-01-05T00:00:00.000000Z
210,1J,TI1A,,CH1,2019-01-04T00:00:00.000000Z,2019-01-05T00:00:00.000000Z
211,1J,TI1A,,CH2,2019-01-04T00:00:00.000000Z,2019-01-05T00:00:00.000000Z
